iter	Passed	Remaining
667	69085	34335
668	69178	34227
669	69288	34127
670	69394	34025
671	69499	33922
672	69604	33819
673	69711	33717
674	69806	33610
675	69902	33503
676	69989	33392
677	70070	33278
678	70174	33175
679	70281	33073
680	70388	32972
681	70440	32844
682	70538	32738
683	70575	32605
684	70667	32496
685	70773	32394
686	70907	32305
687	71037	32214
688	71153	32117
689	71282	32025
690	71384	31921
691	71480	31815
692	71537	31691
693	71641	31588
694	71742	31484
695	71843	31380
696	71932	31270
697	72028	31164
698	72140	31064
699	72248	30963
700	72303	30839
701	72405	30736
702	72505	30631
703	72612	30530
704	72710	30424
705	72808	30319
706	72908	30215
707	73012	30112
708	73120	30011
709	73245	29917
710	73340	29810
711	73463	29715
712	73573	29615
713	73690	29517
714	73789	29412
715	73892	29309
716	73982	29200
717	74085	29097
718	74189	28994
719	74293	28892
720	74394	28787
721	74503	28686
722	74642	28597
723	74744	28493
724	74850	28391
725	74961	28291
726	75058	28185
727	75160	28081
728	75237	27969
729	75342	27866
730	75481	27776
731	75594	27676
732	75712	27578
733	75816	27475
734	75915	27370
735	76019	27267
736	76135	27168
737	76246	27068
738	76348	26964
739	76450	26860
740	76556	26758
741	76658	26654
742	76756	26549
743	76862	26447
744	76958	26341
745	77058	26237
746	77162	26133
747	77261	26029
748	77360	25924
749	77428	25809
750	77535	25707
751	77669	25614
752	77786	25515
753	77894	25413
754	78005	25313
755	78106	25208
756	78217	25108
757	78317	25003
758	78422	24900
759	78535	24800
760	78645	24699
761	78759	24599
762	78869	24498
763	78977	24396
764	79069	24289
765	79171	24185
766	79276	24082
767	79375	23977
768	79485	23876
769	79601	23777
770	79696	23671
771	79797	23567
772	79935	23474
773	80045	23372
774	80156	23271
775	80268	23170
776	80369	23066
777	80451	22956
778	80560	22854
779	80658	22749
780	80766	22647
781	80822	22531
782	80927	22428
783	80967	22307
784	81069	22203
785	81166	22098
786	81267	21994
787	81322	21878
788	81419	21773
789	81527	21671
790	81627	21567
791	81737	21466
792	81844	21364
793	81956	21263
794	82066	21161
795	82182	21061
796	82289	20959
797	82407	20860
798	82532	20762
799	82631	20657
800	82734	20554
801	82838	20451
802	82938	20347
803	83048	20245
804	83138	20139
805	83242	20036
806	83337	19930
807	83443	19828
808	83553	19726
809	83662	19624
810	83778	19524
811	83884	19421
812	83988	19318
813	84093	19215
814	84185	19109
815	84279	19004
816	84398	18904
817	84499	18800
818	84612	18699
819	84734	18600
820	84836	18496
821	84931	18391
822	85043	18290
823	85199	18198
824	85301	18094
825	85397	17989
826	85499	17885
827	85598	17781
828	85699	17677
829	85809	17575
830	85914	17472
831	86026	17370
832	86121	17265
833	86226	17162
834	86324	17058
835	86437	16956
836	86540	16853
837	86660	16752
838	86769	16650
839	86925	16557
840	87044	16456
841	87152	16354
842	87263	16251
843	87408	16156
844	87529	16055
845	87648	15954
846	87770	15854
847	87875	15751
848	88004	15652
849	88121	15550
850	88250	15451
851	88394	15354
852	88519	15254
853	88634	15152
854	88738	15049
855	88864	14949
856	88963	14844
857	89062	14739
858	89197	14641
859	89330	14542
860	89433	14438
861	89541	14335
862	89655	14232
863	89775	14131
864	89893	14029
865	89985	13923
866	90095	13820
867	90193	13716
868	90296	13611
869	90442	13514
870	90563	13413
871	90683	13311
872	90798	13208
873	90913	13106
874	91040	13005
875	91112	12897
876	91210	12792
877	91313	12688
878	91455	12589
879	91493	12476
880	91601	12372
881	91710	12269
882	91813	12165
883	91912	12060
884	92015	11956
885	92109	11851
886	92211	11747
887	92307	11642
888	92411	11538
889	92515	11434
890	92616	11330
891	92722	11226
892	92819	11121
893	92911	11016
894	93010	10911
895	93108	10807
896	93207	10702
897	93330	10601
898	93446	10498
899	93575	10397
900	93700	10295
901	93796	10190
902	93899	10086
903	93997	9982
904	94098	9877
905	94187	9772
906	94284	9667
907	94390	9563
908	94508	9461
909	94556	9351
910	94664	9248
911	94767	9144
912	94894	9042
913	95001	8938
914	95097	8834
915	95191	8729
916	95242	8620
917	95348	8517
918	95484	8415
919	95626	8315
920	95745	8212
921	95867	8110
922	95987	8007
923	96082	7902
924	96182	7798
925	96291	7694
926	96408	7592
927	96531	7489
928	96633	7385
929	96729	7280
930	96835	7176
931	96940	7072
932	97041	6968
933	97173	6866
934	97277	6762
935	97384	6658
936	97491	6554
937	97608	6451
938	97712	6347
939	97839	6245
940	97953	6141
941	98064	6037
942	98196	5935
943	98299	5831
944	98417	5727
945	98532	5624
946	98668	5522
947	98791	5418
948	98894	5314
949	98981	5209
950	99075	5104
951	99190	5001
952	99306	4897
953	99418	4793
954	99528	4689
955	99634	4585
956	99722	4480
957	99823	4376
958	99942	4272
959	100068	4169
960	100168	4065
961	100270	3960
962	100403	3857
963	100511	3753
964	100609	3649
965	100745	3545
966	100847	3441
967	100945	3337
968	101044	3232
969	101144	3128
970	101247	3023
971	101349	2919
972	101449	2815
973	101490	2709
974	101602	2605
975	101711	2501
976	101809	2396
977	101905	2292
978	102001	2187
979	102097	2083
980	102217	1979
981	102331	1875
982	102433	1771
983	102546	1667
984	102704	1564
985	102818	1459
986	102928	1355
987	103033	1251
988	103191	1147
989	103318	1043
990	103429	939
991	103538	834
992	103656	730
993	103766	626
994	103888	522
995	104019	417
996	104153	313
997	104282	208
998	104426	104
999	104612	0
